Eilė,Miestas,2021 m.,2011 m.,2001 m.,1989 m.,1979 m.,1970 m.,1959 m.,1923 m.,1897 m.,Tankumas (2019)
34,Anykščiai,8697,10575,11958,12758,10325,8238,5442,3500,3900,739 žm./km²
33,Prienai,8796,9867,11353,11909,9398,7841,5423,3260,2477*,1017 žm./km²
32,Lentvaris,9713,11105,11773,12964,10167,8059,4216,2000,385,1318 žm./km²
31,Raseiniai,9865,11203,12541,13211,11403,8931,6242,5270,7455*,1140 žm./km²
30,Grigiškės,9950,10867,11448,11610,8259,4991,2559,,,1523 žm./km²
29,Jurbarkas,10186,11232,13797,14310,10644,6575,4412,4409,7400,763 žm./km²
28,Vilkaviškis,10286,11547,13283,13829,11836,8566,5072,7263,5788*,1251 žm./km²
27,Garliava,10366,11264,13322,12420,9418,5587,2489,936,1200,2633 žm./km²
26,Biržai,10734,12465,15262,15907,14401,11385,8624,5315,4413,651 žm./km²
25,Kuršėnai,10916,11963,14197,14796,13223,11468,9099,2900,3200,925 žm./km²
24,Elektrėnai,11255,12012,14050,15871,8466,6646,,,,490 žm./km²
23,Rokiškis,11770,14351,16746,17826,13192,9146,5520,4325,2700,1027 žm./km²
22,Druskininkai,12908,14764,18233,18943,12464,11160,5765,1000,1280,503 žm./km²
21,Gargždai,15065,15021,15212,13409,10042,6414,1524,4700,3360,1307 žm./km²
20,Radviliškis,15103,17254,20339,21263,19232,16841,12613,5464,3900,875 žm./km²
19,Šilutė,15952,17775,21476,21179,16000,12401,8969,4348,2100,1070 žm./km²
18,Palanga,16746,15732,17623,17571,11980,8797,5685,2000,2400,1462 žm./km²
17,Kretinga,17249,19010,21423,19516,16197,13091,9690,2532,3418,850 žm./km²
16,Plungė,17543,20041,23436,22535,18829,13560,3672,4236,4500,1422 žm./km²
15,Visaginas,19446,22361,29554,32438,6212,,,,,1953 žm./km²
14,Tauragė,21203,24389,29124,30119,25966,19461,12041,5470,6600,1288 žm./km²
13,Ukmergė,21258,23878,28759,30410,26601,21663,14880,10604,13532*,981 žm./km²
12,Telšiai,22642,25540,31460,33351,26369,20220,13460,4691,6205*,920 žm./km²
11,Kėdainiai,23461,26648,32048,33840,27886,19677,10580,7415,6113,841 žm./km²
10,Utena,25343,28997,33860,34430,23461,13319,7158,4890,3200,1658 žm./km²
9,Jonava,27381,30650,34954,36520,28413,14438,5005,4115,5000,1933 žm./km²
8,Mažeikiai,33101,37020,42675,43547,25779,13468,7957,4300,1979,1425 žm./km²
7,Marijampolė,36727,41051,48675,50887,38824,28763,19621,9488,6777,999 žm./km²
6,Alytus,52727,59964,71491,73015,55509,28074,12350,6322,3445,1039 žm./km²
5,Panevėžys,89110,99690,119749,126483,102303,73328,41096,19197,12968*,1590 žm./km²
4,Šiauliai,100653,109328,133883,145629,118724,93057,59722,21387,16128*,1251 žm./km²
3,Klaipėda,152008,162360,192954,202929,176648,140012,90521,35845,20100,1356 žm./km²
2,Kaunas,298753,315993,378943,418087,368649,305116,219287,92446,70920*,1843 žm./km²
1,Vilnius,546155,524406,542287,576747,475825,372100,236078,167400,154532*,1374 žm./km²
